

Montana (PST) SNOTEL Site Sleeping Woman - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 10 06:00:27 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
783,2018-10-01,,     0.0,     0.0,     5.1,     5.8,    -0.3,     2.0,       0,
783,2018-10-02,,     0.0,     0.0,     9.9,    13.4,     2.4,     8.4,       0,
783,2018-10-03,,     0.0,     0.7,     2.0,    10.1,     2.0,     7.1,       0,
783,2018-10-04,,     0.0,     0.7,     4.3,     7.8,    -2.2,     2.7,       0,
783,2018-10-05,,     0.0,     0.9,     1.0,     5.3,     0.8,     2.4,       0,
783,2018-10-06,,     0.0,     0.9,     1.5,     7.3,    -0.5,     3.1,       0,
783,2018-10-07,,     0.0,     1.1,     1.8,     2.9,     1.1,     1.7,       0,
783,2018-10-08,,     0.0,     1.1,    -0.2,     5.0,    -0.2,     2.0,       0,
783,2018-10-09,,     0.0,     1.1,     2.0,     5.0,    -0.4,     2.3,       0,
783,2018-10-10,,     0.3,     1.4,    -1.8,     2.9,    -1.9,     0.6,       2,
783,2018-10-11,,     0.3,     1.5,    -2.3,     2.2,    -3.1,    -0.5,       2,
783,2018-10-12,,     0.3,     1.5,     1.4,     5.9,    -2.8,     1.3,       2,
783,2018-10-13,,     0.0,     1.5,     0.1,     8.6,     0.0,     4.0,       1,
783,2018-10-14,,     0.4,     1.9,    -4.1,     2.6,    -4.9,    -1.6,       2,
783,2018-10-15,,     0.5,     2.0,    -0.4,     4.3,    -5.9,    -0.7,       2,
783,2018-10-16,,     0.5,     2.0,     1.7,     8.1,    -1.0,     2.6,       1,
783,2018-10-17,,     0.5,     2.0,     3.7,    11.7,     0.9,     4.6,       1,
783,2018-10-18,,     0.5,     2.0,     6.5,    13.7,     3.0,     7.1,       1,
783,2018-10-19,,     0.3,     2.0,     6.9,    13.5,     4.7,     8.6,       1,
783,2018-10-20,,     0.0,     2.0,     6.8,    13.9,     5.0,     8.8,       0,
783,2018-10-21,,     0.0,     2.0,     8.6,    16.8,     6.3,    10.8,       0,
783,2018-10-22,,     0.0,     2.0,     6.9,    15.8,     6.4,     9.7,       0,
783,2018-10-23,,     0.0,     2.0,     8.3,    14.6,     5.7,     9.4,       0,
783,2018-10-24,,     0.0,     2.0,     7.8,    15.8,     6.6,     9.8,       0,
783,2018-10-25,,     0.0,     2.0,     4.6,    11.5,     4.4,     7.4,       0,
783,2018-10-26,,     0.0,     2.0,     5.1,     8.9,     2.9,     5.5,       0,
783,2018-10-27,,     0.0,     2.8,     5.1,     7.5,     3.9,     5.8,       0,
783,2018-10-28,,     0.0,     3.1,     5.7,     8.6,     1.0,     3.9,       0,
783,2018-10-29,,     0.0,     3.7,     1.4,     7.3,     1.1,     4.0,       0,
783,2018-10-30,,     0.3,     4.0,     0.0,     2.2,     0.0,     0.8,       2,
783,2018-10-31,,     0.3,     4.1,    -0.1,     2.1,    -0.8,     0.2,       1,
783,2018-11-01,,     0.5,     4.3,     2.8,     3.4,    -0.5,     1.0,       2,
783,2018-11-02,,     0.2,     4.7,     5.4,     5.7,     2.4,     4.1,       1,
783,2018-11-03,,     0.0,     5.3,     2.3,     5.9,     2.2,     4.0,       0,
783,2018-11-04,,     0.0,     5.4,     1.6,     2.6,     1.3,     1.9,       0,
783,2018-11-05,,     0.6,     5.9,     1.1,     2.4,     0.9,     1.5,       2,
783,2018-11-06,,     0.7,     6.1,    -1.1,     1.7,    -1.9,     0.1,       4,
783,2018-11-07,,     0.9,     6.3,    -1.4,     4.1,    -1.8,    -0.4,       5,
783,2018-11-08,,     1.3,     6.8,    -5.1,     1.4,    -5.3,    -2.8,      11,
783,2018-11-09,,     1.3,     6.9,    -4.9,    -0.4,    -6.7,    -4.2,       9,
783,2018-11-10,,     1.3,     7.0,    -3.4,    -0.4,    -6.0,    -2.8,       8,
783,2018-11-11,,     1.3,     7.0,    -6.3,    -1.9,    -7.5,    -4.7,       7,
783,2018-11-12,,     1.3,     7.0,    -6.6,    -3.4,    -8.0,    -5.5,       7,
783,2018-11-13,,     1.4,     7.1,    -3.4,     1.1,    -8.4,    -4.1,       8,
783,2018-11-14,,     1.5,     7.1,     4.6,     7.2,    -4.0,     2.6,       7,
783,2018-11-15,,     1.5,     7.2,     0.7,     5.3,     0.5,     2.9,       6,
783,2018-11-16,,     1.6,     7.3,     1.5,     3.6,     0.3,     1.8,       7,
783,2018-11-17,,     1.6,     7.4,    -5.8,     3.4,    -5.9,    -1.2,       7,
783,2018-11-18,,     1.6,     7.4,    -5.5,    -3.0,    -7.8,    -5.8,       7,
783,2018-11-19,,     1.6,     7.4,    -1.8,     1.9,    -6.5,    -2.2,       7,
783,2018-11-20,,     1.6,     7.4,     1.3,     4.7,    -4.0,    -0.2,       7,
783,2018-11-21,,     1.6,     7.4,     2.0,     8.3,     0.5,     2.9,       7,
783,2018-11-22,,     1.6,     7.4,     1.0,     9.3,     0.9,     5.5,       6,
783,2018-11-23,,     1.8,     7.6,    -0.6,     5.2,    -0.6,     2.1,       8,
783,2018-11-24,,     1.9,     7.7,    -1.8,     0.4,    -2.1,    -1.1,      10,
783,2018-11-25,,     2.1,     8.0,    -4.6,    -0.2,    -4.6,    -2.4,      12,
783,2018-11-26,,     2.1,     8.0,    -2.7,     0.9,    -6.2,    -3.2,      11,
783,2018-11-27,,     2.2,     8.0,     2.2,     3.0,    -3.6,     1.0,      11,
783,2018-11-28,,     2.4,     8.2,     0.5,     3.6,     0.5,     1.8,      10,
783,2018-11-29,,     2.3,     8.2,    -1.3,     2.4,    -1.4,     0.1,      10,
783,2018-11-30,,     2.2,     8.2,    -4.0,     3.6,    -4.4,    -1.4,      10,
783,2018-12-01,,     2.3,     8.3,    -3.0,     1.6,    -4.8,    -2.8,      10,
783,2018-12-02,,     2.3,     8.3,    -6.8,     0.5,    -7.0,    -4.3,      10,
783,2018-12-03,,     2.3,     8.3,    -8.3,    -3.7,    -8.3,    -6.2,      10,
783,2018-12-04,,     2.3,     8.3,    -6.5,    -4.5,    -9.0,    -6.6,      10,
783,2018-12-05,,     2.3,     8.3,    -7.4,    -3.9,    -9.6,    -6.9,      10,
783,2018-12-06,,     2.3,     8.3,   -12.4,    -3.6,   -12.7,    -9.5,      10,
783,2018-12-07,,     2.3,     8.3,    -9.3,    -5.8,   -12.9,   -10.4,      10,
783,2018-12-08,,     2.4,     8.4,    -4.4,    -0.9,   -12.3,    -7.1,      10,
783,2018-12-09,,     2.4,     8.4,    -2.5,    -1.9,    -5.0,    -3.5,      10,
783,2018-12-10,,     2.4,     8.4,    -0.1,     2.3,    -5.9,    -1.7,      10,
783,2018-12-11,,     2.4,     8.4,    -3.0,     0.4,    -3.3,    -1.5,      11,
783,2018-12-12,,     2.6,     8.6,    -0.5,     0.3,    -4.1,    -2.0,      12,
783,2018-12-13,,     2.8,     8.9,    -4.7,    -0.4,    -5.1,    -3.3,      14,
783,2018-12-14,,     2.9,     9.0,     0.4,     1.0,    -4.8,    -2.3,      14,
783,2018-12-15,,     2.9,     9.0,    -1.0,     5.9,    -1.0,     3.0,      14,
783,2018-12-16,,     3.1,     9.2,    -1.3,     1.2,    -5.8,    -2.7,      15,
783,2018-12-17,,     3.2,     9.2,     3.1,     6.4,    -2.6,     2.4,      15,
783,2018-12-18,,     3.2,     9.2,     0.6,     3.8,    -1.1,     1.6,      15,
783,2018-12-19,,     4.1,    10.1,    -0.6,     1.5,    -0.7,     0.3,      21,
783,2018-12-20,,     4.1,    10.2,    -2.3,    -0.4,    -5.8,    -2.0,      21,
783,2018-12-21,,     4.4,    10.5,    -2.1,     4.2,    -4.6,     1.2,      22,
783,2018-12-22,,     4.5,    10.6,    -6.6,    -2.0,    -6.9,    -5.1,      22,
783,2018-12-23,,     4.5,    10.7,    -2.9,    -2.7,    -9.9,    -7.0,      22,
783,2018-12-24,,     4.8,    10.9,    -2.3,    -1.3,    -5.9,    -2.5,      23,
783,2018-12-25,,     4.9,    11.0,    -4.1,    -0.1,    -4.3,    -2.8,      23,
783,2018-12-26,,     4.9,    11.0,    -7.9,    -3.7,    -8.1,    -5.3,      23,
783,2018-12-27,,     4.9,    11.1,    -6.9,    -5.2,    -9.6,    -7.2,      23,
783,2018-12-28,,     5.0,    11.2,    -8.6,    -5.0,    -8.6,    -7.2,      23,
783,2018-12-29,,     5.1,    11.3,    -7.0,    -7.0,    -9.0,    -8.4,      24,
783,2018-12-30,,     5.4,    11.6,    -0.8,     0.4,    -7.1,    -1.7,      24,
783,2018-12-31,,     5.5,    11.8,   -10.1,    -0.6,   -10.1,    -4.6,      27,
783,2019-01-01,,     5.5,    11.9,   -11.8,    -8.4,   -15.9,   -12.6,      25,
783,2019-01-02,,     5.6,    12.0,    -5.9,    -5.8,   -12.1,    -9.2,      25,
783,2019-01-03,,     5.6,    12.0,    -0.1,     0.3,    -5.9,    -2.5,      25,
