

Montana (PST) SNOTEL Site Sleeping Woman - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 10 06:02:30 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
783,2020-10-01,,     0.0,     0.0,    10.2,    17.8,     9.0,    12.2,       0,
783,2020-10-02,,     0.0,     0.0,    12.0,    17.9,    11.2,    14.2,       0,
783,2020-10-03,,     0.0,     0.0,    10.9,    18.6,    10.5,    13.7,       0,
783,2020-10-04,,     0.0,     0.0,    11.4,    18.8,     9.4,    13.2,       0,
783,2020-10-05,,     0.0,     0.0,     9.6,    18.3,     9.0,    12.9,       0,
783,2020-10-06,,     0.0,     0.0,    11.7,    17.2,     8.3,    12.1,       0,
783,2020-10-07,,     0.0,     0.0,    10.7,    18.9,     9.0,    13.9,       0,
783,2020-10-08,,     0.0,     0.0,    12.0,    20.1,     9.9,    14.5,       0,
783,2020-10-09,,     0.0,     0.0,     8.7,    16.1,     8.7,    12.4,       0,
783,2020-10-10,,     0.0,     0.0,    12.2,    15.5,     7.3,    11.3,       0,
783,2020-10-11,,     0.3,     0.5,     0.6,    14.0,     0.4,     7.6,       1,
783,2020-10-12,,     0.5,     0.7,     2.3,     2.9,    -0.3,     1.2,       2,
783,2020-10-13,,     0.4,     1.4,     0.1,     5.2,    -0.4,     2.9,       1,
783,2020-10-14,,     0.5,     2.2,     1.9,     5.0,     0.1,     2.6,       2,
783,2020-10-15,,     0.9,     2.5,     0.1,     3.4,    -0.4,     0.9,       3,
783,2020-10-16,,     0.8,     2.5,     0.4,     5.4,    -0.4,     1.0,       3,
783,2020-10-17,,     0.4,     2.8,     5.5,     6.7,     0.3,     4.3,       1,
783,2020-10-18,,     0.2,     3.5,     0.3,     5.5,     0.3,     3.0,       1,
783,2020-10-19,,     0.6,     4.2,     4.4,     4.6,    -2.0,     1.7,       1,
783,2020-10-20,,     0.2,     4.5,     2.3,     4.9,     2.2,     3.7,       1,
783,2020-10-21,,     0.2,     4.7,     0.5,     3.2,    -0.7,     1.2,       1,
783,2020-10-22,,     0.5,     4.7,    -5.6,     1.4,    -5.6,    -1.7,       3,
783,2020-10-23,,     0.5,     4.7,    -7.0,    -1.8,    -7.6,    -5.7,       2,
783,2020-10-24,,     1.4,     5.6,    -5.6,    -3.8,    -8.4,    -5.7,      11,
783,2020-10-25,,     1.5,     5.7,   -18.1,    -5.6,   -18.2,   -11.4,      13,
783,2020-10-26,,     1.6,     5.9,   -11.6,    -5.5,   -19.1,   -13.7,      12,
783,2020-10-27,,     1.6,     5.9,    -5.2,    -4.8,   -11.7,    -7.2,      10,
783,2020-10-28,,     1.6,     6.2,     1.7,     4.0,    -5.3,     0.4,       9,
783,2020-10-29,,     1.5,     6.2,     6.4,     8.1,     1.3,     4.8,       6,
783,2020-10-30,,     1.3,     6.2,     8.4,    10.5,     5.7,     7.7,       4,
783,2020-10-31,,     1.3,     6.2,     0.5,    10.4,     0.3,     5.2,       5,
783,2020-11-01,,     1.3,     6.2,     2.3,     6.3,    -1.2,     1.5,       4,
783,2020-11-02,,     1.3,     6.2,    10.8,    12.4,     0.2,     6.6,       4,
783,2020-11-03,,     1.2,     6.3,    10.2,    13.7,     6.3,    10.2,       4,
783,2020-11-04,,     1.1,     6.3,     5.6,    14.7,     4.8,     9.9,       3,
783,2020-11-05,,     0.5,     6.3,     9.2,     9.3,     5.2,     7.8,       1,
783,2020-11-06,,     0.0,     6.4,     3.8,    10.5,     3.4,     8.0,       0,
783,2020-11-07,,     0.0,     6.7,     1.1,     5.5,     1.0,     2.8,       0,
783,2020-11-08,,     0.5,     7.2,    -4.7,     2.6,    -4.7,     0.1,       4,
783,2020-11-09,,     1.2,     7.9,   -11.1,    -4.7,   -11.8,   -10.0,      13,
783,2020-11-10,,     1.2,     7.9,    -7.5,    -4.3,   -12.3,    -8.5,       9,
783,2020-11-11,,     1.3,     8.0,    -6.2,    -2.8,    -7.8,    -5.3,       9,
783,2020-11-12,,     1.3,     8.0,    -8.0,    -2.4,    -8.4,    -6.6,       9,
783,2020-11-13,,     1.4,     8.1,    -4.1,    -1.7,    -8.9,    -5.8,       9,
783,2020-11-14,,     1.8,     8.4,    -3.8,    -0.9,    -4.2,    -2.4,      10,
783,2020-11-15,,     1.9,     8.6,    -4.0,    -2.8,    -5.1,    -4.2,      10,
783,2020-11-16,,     2.0,     8.7,    -0.9,     0.3,    -4.6,    -1.2,       9,
783,2020-11-17,,     2.1,     9.0,     5.8,     6.2,    -1.3,     1.9,       9,
783,2020-11-18,,     2.0,     9.1,     2.7,    10.2,     2.3,     6.3,       7,
783,2020-11-19,,     2.2,     9.5,    -1.4,     3.4,    -1.5,     1.5,       8,
783,2020-11-20,,     2.3,     9.7,    -3.6,     0.6,    -3.7,    -1.9,       9,
783,2020-11-21,,     2.3,     9.7,    -2.8,    -0.2,    -4.6,    -2.6,       9,
783,2020-11-22,,     2.3,     9.7,    -3.4,    -1.8,    -4.8,    -3.4,       9,
783,2020-11-23,,     2.3,     9.7,    -2.7,     2.5,    -5.9,    -1.8,       9,
783,2020-11-24,,     2.3,     9.7,    -2.9,    -1.2,    -4.2,    -2.6,       9,
783,2020-11-25,,     2.3,     9.7,    -0.3,     0.2,    -3.5,    -2.3,       9,
783,2020-11-26,,     2.4,     9.8,    -4.3,    -0.2,    -4.5,    -2.9,      10,
783,2020-11-27,,     2.5,     9.9,    -3.2,    -2.1,    -4.9,    -3.6,      10,
783,2020-11-28,,     2.5,     9.9,     1.4,     1.9,    -5.2,    -1.1,       9,
